Strain : Tensile strain (Extension) gauge length,"100.00000",mm

Time,Extension,Load
(s),(mm),(N)
"2.44000","0.00000","-0.01192"
"2.45000","0.00000","-0.00585"
"2.46000","0.00000","0.00557"
"2.47000","0.00000","0.01310"
"2.48000","0.00000","0.01017"
"2.49000","0.00000","0.00539"
"2.50000","0.00000","0.00084"
"2.51000","0.00000","-0.00424"
"2.52000","0.00000","-0.00610"
"2.53000","0.00000","-0.00534"
"2.54000","0.00000","-0.00015"
"2.55000","0.00000","0.00436"
"2.56000","0.00000","0.00628"
"2.57000","0.00000","0.00864"
"2.58000","0.00000","0.01392"
"2.59000","0.00000","0.01546"
"2.60000","0.00000","0.00917"
"2.61000","0.00000","-0.00481"
"2.62000","0.00000","-0.01864"
"2.63000","0.00000","-0.01917"
"2.64000","0.00000","-0.00266"
"2.65000","0.00000","0.01538"
"2.66000","0.00000","0.02662"
"2.67000","0.00000","0.02305"
"2.68000","0.00000","0.00516"
"2.69000","0.00000","-0.01486"
"2.70000","0.00000","-0.02067"
"2.71000","0.00000","-0.00876"
"2.72000","0.00000","0.01098"
"2.73000","0.00000","0.02664"
"2.74000","0.00000","0.02253"
"2.75000","0.00000","0.00526"
"2.76000","0.00000","-0.00947"
"2.77000","0.00000","-0.01487"
"2.78000","0.00000","-0.00772"
"2.79000","0.00000","0.00592"
"2.80000","0.00000","0.01633"
"2.81000","0.00000","0.01667"
"2.82000","0.00000","0.00808"
"2.83000","0.00000","-0.00227"
"2.84000","0.00000","-0.00638"
"2.85000","0.00000","-0.00187"
"2.86000","0.00000","0.00236"
"2.87000","0.00000","0.00230"
"2.88000","0.00000","0.00132"
"2.89000","0.00000","0.00070"
"2.90000","0.00000","0.00543"
"2.91000","0.00000","0.01366"
"2.92000","0.00000","0.01921"
"2.93000","0.00000","0.01659"
"2.94000","0.00000","0.00524"
"2.95000","0.00000","-0.00982"
"2.96000","0.00000","-0.02097"
"2.97000","0.00000","-0.01753"
"2.98000","0.00000","-0.00250"
"2.99000","0.00000","0.01333"
"3.00000","0.00000","0.02225"
"3.01000","0.00000","0.01678"
"3.02000","0.00000","0.00501"
"3.03000","0.00000","-0.00346"
"3.04000","0.00000","-0.00621"
"3.05000","0.00000","-0.00113"
"3.06000","0.00000","0.00767"
"3.07000","0.00000","0.01389"
"3.08000","0.00000","0.01042"
"3.09000","0.00000","0.00157"
"3.10000","0.00000","-0.00429"
"3.11000","0.00000","-0.00346"
"3.12000","0.00000","0.00474"
"3.13000","0.00000","0.01305"
"3.14000","0.00000","0.01445"
"3.15000","0.00000","0.00763"
"3.16000","0.00000","0.00166"
"3.17000","0.00000","0.00333"
"3.18000","0.00000","0.00711"
"3.19000","0.00000","0.00975"
"3.20000","0.00000","0.00623"
"3.21000","0.00000","-0.00045"
"3.22000","0.00000","-0.00633"
"3.23000","0.00000","-0.00604"
"3.24000","0.00000","0.00342"
"3.25000","0.00000","0.01177"
"3.26000","0.00000","0.01286"
"3.27000","0.00000","0.00711"
"3.28000","0.00000","-0.00111"
"3.29000","0.00000","-0.00097"
"3.30000","0.00000","0.00515"
"3.31000","0.00000","0.01214"
"3.32000","0.00000","0.01093"
"3.33000","0.00000","0.00368"
"3.34000","0.00000","-0.00252"
"3.35000","0.00000","-0.00758"
"3.36000","0.00000","-0.00232"
"3.37000","0.00000","0.01021"
"3.38000","0.00000","0.02084"
"3.39000","0.00000","0.02125"
"3.40000","0.00000","0.00861"
"3.41000","0.00000","-0.00610"
"3.42000","0.00000","-0.01436"
"3.43000","0.00000","-0.00801"
"3.44000","0.00000","0.00623"
"3.45000","0.00000","0.02026"
"3.46000","0.00000","0.02389"
"3.47000","0.00000","0.01238"
"3.48000","0.00000","-0.00111"
"3.49000","0.00000","-0.00946"
"3.50000","0.00000","-0.00869"
"3.51000","0.00000","-0.00033"
"3.52000","0.00000","0.00670"
"3.53000","0.00000","0.00575"
"3.54000","0.00000","0.00033"
"3.55000","0.00000","-0.00279"
"3.56000","0.00000","-0.00140"
"3.57000","0.00000","0.00564"
